0:0:0:0:0:0:0:1 - - [14/May/2018:22:13:29 +0800] "GET /00.08_AssetsManagementSystem/view/borrowreturn/listPage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:22:14:41 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showBorrowreturn.do HTTP/1.1" 200 10391
0:0:0:0:0:0:0:1 - - [14/May/2018:22:14:46 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showAllProperty.do HTTP/1.1" 200 9719
0:0:0:0:0:0:0:1 - - [14/May/2018:22:15:15 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showAllProperty.do HTTP/1.1" 200 9708
0:0:0:0:0:0:0:1 - - [14/May/2018:22:15:19 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showAllProperty.do?pageNumber=2 HTTP/1.1" 200 9619
0:0:0:0:0:0:0:1 - - [14/May/2018:22:15:20 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showAllProperty.do?pageNumber=3 HTTP/1.1" 200 9658
0:0:0:0:0:0:0:1 - - [14/May/2018:22:15:21 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showAllProperty.do?pageNumber=4 HTTP/1.1" 200 8842
0:0:0:0:0:0:0:1 - - [14/May/2018:22:15:22 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showAllProperty.do?pageNumber=1 HTTP/1.1" 200 9708
0:0:0:0:0:0:0:1 - - [14/May/2018:22:17:30 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showBorrowreturn.do HTTP/1.1" 200 10290
0:0:0:0:0:0:0:1 - - [14/May/2018:22:17:35 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showBorrowreturn.do HTTP/1.1" 200 10290
0:0:0:0:0:0:0:1 - - [14/May/2018:22:17:39 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showAllProperty.do HTTP/1.1" 200 9682
0:0:0:0:0:0:0:1 - - [14/May/2018:22:18:21 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showAllProperty.do HTTP/1.1" 200 9691
0:0:0:0:0:0:0:1 - - [14/May/2018:22:18:35 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showAllProperty.do HTTP/1.1" 200 9708
0:0:0:0:0:0:0:1 - - [14/May/2018:22:18:41 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showBorrowreturn.do HTTP/1.1" 200 10290
0:0:0:0:0:0:0:1 - - [14/May/2018:22:18:45 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showBorrowreturn.do?pageNumber=2 HTTP/1.1" 200 10298
0:0:0:0:0:0:0:1 - - [14/May/2018:22:18:46 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showBorrowreturn.do?pageNumber=3 HTTP/1.1" 200 10298
0:0:0:0:0:0:0:1 - - [14/May/2018:22:18:47 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showBorrowreturn.do?pageNumber=4 HTTP/1.1" 200 10293
0:0:0:0:0:0:0:1 - - [14/May/2018:22:18:48 +0800] "POST /00.08_AssetsManagementSystem/applyController/returnType.do HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [14/May/2018:22:18:51 +0800] "POST /00.08_AssetsManagementSystem/propertyController/showBorrowreturn.do HTTP/1.1" 200 9844
0:0:0:0:0:0:0:1 - - [14/May/2018:22:19:10 +0800] "GET /00.08_AssetsManagementSystem/index.jsp HTTP/1.1" 200 7696
0:0:0:0:0:0:0:1 - - [14/May/2018:22:19:10 +0800] "GET /00.08_AssetsManagementSystem/indexController/showWelcome.do HTTP/1.1" 200 4759
0:0:0:0:0:0:0:1 - - [14/May/2018:22:19:10 +0800] "POST /00.08_AssetsManagementSystem/indexController/OnlineNum.ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [14/May/2018:22:19:10 +0800] "POST /00.08_AssetsManagementSystem/indexController/getServerTime.ajax HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [14/May/2018:22:19:23 +0800] "GET /00.08_AssetsManagementSystem/index.jsp HTTP/1.1" 200 7696
0:0:0:0:0:0:0:1 - - [14/May/2018:22:19:23 +0800] "GET /00.08_AssetsManagementSystem/indexController/showWelcome.do HTTP/1.1" 200 4759
0:0:0:0:0:0:0:1 - - [14/May/2018:22:19:23 +0800] "POST /00.08_AssetsManagementSystem/indexController/OnlineNum.ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [14/May/2018:22:19:23 +0800] "POST /00.08_AssetsManagementSystem/indexController/getServerTime.ajax HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [14/May/2018:22:19:33 +0800] "GET /00.08_AssetsManagementSystem/index.jsp HTTP/1.1" 200 7696
0:0:0:0:0:0:0:1 - - [14/May/2018:22:19:33 +0800] "GET /00.08_AssetsManagementSystem/indexController/showWelcome.do HTTP/1.1" 200 4759
0:0:0:0:0:0:0:1 - - [14/May/2018:22:19:33 +0800] "POST /00.08_AssetsManagementSystem/indexController/OnlineNum.ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [14/May/2018:22:19:33 +0800] "POST /00.08_AssetsManagementSystem/indexController/getServerTime.ajax HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [14/May/2018:22:19:35 +0800] "POST /00.08_AssetsManagementSystem/indexController/OnlineNum.ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [14/May/2018:22:19:35 +0800] "POST /00.08_AssetsManagementSystem/indexController/getServerTime.ajax HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [14/May/2018:22:19:36 +0800] "POST /00.08_AssetsManagementSystem/indexController/OnlineNum.ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [14/May/2018:22:19:36 +0800] "POST /00.08_AssetsManagementSystem/indexController/getServerTime.ajax HTTP/1.1" 200 19
